,Country name,Total cases,Total deaths,Total recovered,Active cases,New cases,New deaths,Total tests,Population
67,Tunisia,"1,153,361","29,423                                ",N/A,N/A,,,"5,013,383","12,046,656 "
68,Cuba,"1,115,150","8,530                                ","1,106,553",67,,,"14,392,293","11,305,652 "
69,Ecuador,"1,069,139","36,043                                ","1,033,096",0,,,"3,082,403","18,113,361 "
70,UAE,"1,067,030","2,349                                ","1,054,525","10,156",,,"200,732,262","10,081,785 "
71,Panama,"1,049,089","8,666                                ","1,040,268",155,,,"7,811,039","4,446,964 "
72,Uruguay,"1,038,774","7,634                                ","1,030,944",196,,,"6,114,822","3,496,016 "
73,Mongolia,"1,011,170","2,179                                ","1,008,991",0,,,"4,030,048","3,378,078 "
74,Nepal,"1,003,450","12,031                                ","991,322",97,,,"6,047,766","30,225,582 "
75,Belarus,"994,037","7,118                                ","985,592","1,327",,,"13,646,641","9,432,800 "
76,Latvia,"979,634","6,425                                ","971,406","1,803",,,"7,883,831","1,848,837 "
77,Saudi Arabia,"841,469","9,646                                ","827,923","3,900",,,"45,481,735","35,844,909 "
78,Azerbaijan,"834,095","10,358                                ","823,689",48,,,"7,706,434","10,300,205 "
79,Paraguay,"815,869","20,028                                ",N/A,N/A,,,"2,657,506","7,305,843 "
80,Bahrain,"729,405","1,574                                ","727,786",45,,,"10,944,809","1,783,983 "
81,Sri Lanka,"672,606","16,885                                ","655,721",0,,,"6,486,117","21,575,842 "
82,Dominican Republic,"670,627","4,384                                ","666,104",139,,,"3,740,928","11,056,370 "
83,Kuwait,"666,501","2,570                                ","660,237","3,694",,,"8,455,743","4,380,326 "
84,Cyprus,"660,854","1,364                                ","659,490",0,,,"9,640,118","1,223,387 "
85,Myanmar,"641,368","19,495                                ","619,922","1,951",+1,,"11,441,347","55,227,143 "
86,Moldova,"625,712","12,135                                ",N/A,N/A,,,"3,216,305","4,013,171 "
87,Palestine,"621,008","5,404                                ","615,445",159,,,"3,078,533","5,345,541 "
88,Estonia,"620,716","3,001                                ","524,990","92,725",,,"3,748,182","1,321,910 "
89,Venezuela,"552,695","5,856                                ","546,537",302,,,"3,359,014","29,266,991 "
90,Egypt,"516,023","24,613                                ","442,182","49,228",,,"3,693,367","106,156,692 "
91,Qatar,"514,524",690                                ,"513,687",147,,,"4,065,369","2,979,915 "
92,Libya,"507,274","6,437                                ","500,835",2,,,"2,483,848","7,040,745 "
93,China,"503,302","5,272                                ","379,053","118,977",,,"160,000,000","1,448,471,400                                "
94,Ethiopia,"501,060","7,574                                ","488,171","5,315",,,"5,565,340","120,812,698 "
95,Réunion,"486,588",921                                ,"418,572","67,095",,,"1,603,660","908,061 "
96,Honduras,"474,590","11,165                                ",N/A,N/A,,,"1,660,662","10,221,247 "
97,Armenia,"450,873","8,769                                ","435,162","6,942",,,"3,242,901","2,971,966 "
98,Bosnia and Herzegovina,"403,293","16,364                                ","379,084","7,845",,,"1,884,721","3,249,317 "
